==========================================================
     YouTube 专用优选网速排名（第一行最适合看视频）
==========================================================

NO.1 | 流媒体网速: 28.41 MB/s | IP地址: 167.148.203.71:443 | 地区: HK
NO.2 | 流媒体网速: 27.53 MB/s | IP地址: 155.117.224.193:443 | 地区: HK
NO.3 | 流媒体网速: 26.78 MB/s | IP地址: 141.11.149.89:443 | 地区: HK
NO.4 | 流媒体网速: 26.73 MB/s | IP地址: 13.124.169.29:443 | 地区: KR
NO.5 | 流媒体网速: 26.67 MB/s | IP地址: 103.97.201.65:443 | 地区: HK
NO.6 | 流媒体网速: 26.66 MB/s | IP地址: 18.182.141.80:443 | 地区: JP
NO.7 | 流媒体网速: 26.38 MB/s | IP地址: 147.79.20.129:443 | 地区: JP
NO.8 | 流媒体网速: 26.21 MB/s | IP地址: 45.202.255.219:443 | 地区: JP
NO.9 | 流媒体网速: 26.12 MB/s | IP地址: 158.178.224.158:8443 | 地区: SG
NO.10 | 流媒体网速: 26.11 MB/s | IP地址: 14.137.235.40:443 | 地区: JP
NO.11 | 流媒体网速: 26.10 MB/s | IP地址: 167.148.6.161:2087 | 地区: JP
NO.12 | 流媒体网速: 25.98 MB/s | IP地址: 45.192.204.72:443 | 地区: HK
NO.13 | 流媒体网速: 25.95 MB/s | IP地址: 134.185.93.131:8443 | 地区: SG
NO.14 | 流媒体网速: 25.93 MB/s | IP地址: 152.42.174.94:443 | 地区: SG
NO.15 | 流媒体网速: 25.92 MB/s | IP地址: 156.224.79.83:443 | 地区: HK
NO.16 | 流媒体网速: 25.89 MB/s | IP地址: 13.113.187.222:443 | 地区: JP
NO.17 | 流媒体网速: 25.86 MB/s | IP地址: 167.148.203.3:443 | 地区: HK
NO.18 | 流媒体网速: 25.75 MB/s | IP地址: 152.42.163.208:443 | 地区: SG
NO.19 | 流媒体网速: 25.73 MB/s | IP地址: 178.128.86.3:443 | 地区: SG
NO.20 | 流媒体网速: 25.73 MB/s | IP地址: 168.144.44.84:443 | 地区: SG
NO.21 | 流媒体网速: 25.67 MB/s | IP地址: 45.221.113.58:8443 | 地区: HK
NO.22 | 流媒体网速: 25.66 MB/s | IP地址: 168.144.109.68:443 | 地区: SG
NO.23 | 流媒体网速: 25.66 MB/s | IP地址: 14.137.235.113:443 | 地区: JP
NO.24 | 流媒体网速: 25.62 MB/s | IP地址: 109.107.140.90:443 | 地区: JP
NO.25 | 流媒体网速: 25.60 MB/s | IP地址: 167.148.6.161:2083 | 地区: JP
NO.26 | 流媒体网速: 25.56 MB/s | IP地址: 167.71.195.238:443 | 地区: SG
NO.27 | 流媒体网速: 25.54 MB/s | IP地址: 13.114.50.138:8443 | 地区: JP
NO.28 | 流媒体网速: 25.53 MB/s | IP地址: 103.85.25.231:443 | 地区: JP
NO.29 | 流媒体网速: 25.45 MB/s | IP地址: 165.22.110.8:443 | 地区: SG
NO.30 | 流媒体网速: 25.44 MB/s | IP地址: 45.202.247.152:443 | 地区: MO
NO.31 | 流媒体网速: 25.42 MB/s | IP地址: 103.247.28.26:443 | 地区: HK
NO.32 | 流媒体网速: 25.40 MB/s | IP地址: 45.202.246.91:8443 | 地区: MO
NO.33 | 流媒体网速: 25.34 MB/s | IP地址: 157.245.50.181:443 | 地区: SG
NO.34 | 流媒体网速: 25.33 MB/s | IP地址: 167.172.90.175:443 | 地区: SG
NO.35 | 流媒体网速: 25.32 MB/s | IP地址: 45.153.246.47:443 | 地区: JP
NO.36 | 流媒体网速: 25.30 MB/s | IP地址: 140.245.127.48:443 | 地区: SG
NO.37 | 流媒体网速: 25.30 MB/s | IP地址: 168.144.128.4:443 | 地区: SG
NO.38 | 流媒体网速: 25.28 MB/s | IP地址: 178.128.92.205:8443 | 地区: SG
NO.39 | 流媒体网速: 25.20 MB/s | IP地址: 45.192.200.133:443 | 地区: JP
NO.40 | 流媒体网速: 25.11 MB/s | IP地址: 159.223.78.76:443 | 地区: SG
NO.41 | 流媒体网速: 24.91 MB/s | IP地址: 151.241.129.79:443 | 地区: JP
NO.42 | 流媒体网速: 24.81 MB/s | IP地址: 159.89.199.63:443 | 地区: SG
NO.43 | 流媒体网速: 24.79 MB/s | IP地址: 159.65.10.227:443 | 地区: SG
NO.44 | 流媒体网速: 24.74 MB/s | IP地址: 151.243.229.150:443 | 地区: HK
NO.45 | 流媒体网速: 24.73 MB/s | IP地址: 152.42.199.134:443 | 地区: SG
NO.46 | 流媒体网速: 24.71 MB/s | IP地址: 152.42.194.191:443 | 地区: SG
NO.47 | 流媒体网速: 24.66 MB/s | IP地址: 157.230.244.86:443 | 地区: SG
NO.48 | 流媒体网速: 24.61 MB/s | IP地址: 152.42.247.235:443 | 地区: SG
NO.49 | 流媒体网速: 24.53 MB/s | IP地址: 103.27.187.73:443 | 地区: JP
NO.50 | 流媒体网速: 24.51 MB/s | IP地址: 45.192.200.180:2083 | 地区: JP
NO.51 | 流媒体网速: 24.51 MB/s | IP地址: 167.71.217.55:443 | 地区: SG
NO.52 | 流媒体网速: 24.50 MB/s | IP地址: 147.79.20.197:443 | 地区: JP
NO.53 | 流媒体网速: 24.46 MB/s | IP地址: 156.226.168.206:443 | 地区: HK
NO.54 | 流媒体网速: 24.43 MB/s | IP地址: 152.42.229.215:443 | 地区: SG
NO.55 | 流媒体网速: 24.38 MB/s | IP地址: 157.230.39.201:8443 | 地区: SG
NO.56 | 流媒体网速: 24.34 MB/s | IP地址: 103.27.187.162:8443 | 地区: JP
NO.57 | 流媒体网速: 24.34 MB/s | IP地址: 152.42.232.186:443 | 地区: SG
NO.58 | 流媒体网速: 24.32 MB/s | IP地址: 151.242.188.152:443 | 地区: TW
NO.59 | 流媒体网速: 24.25 MB/s | IP地址: 151.242.188.249:443 | 地区: TW
NO.60 | 流媒体网速: 24.24 MB/s | IP地址: 157.245.198.117:443 | 地区: SG
NO.61 | 流媒体网速: 24.23 MB/s | IP地址: 178.239.117.205:8443 | 地区: JP
NO.62 | 流媒体网速: 24.19 MB/s | IP地址: 45.192.206.151:443 | 地区: JP
NO.63 | 流媒体网速: 24.17 MB/s | IP地址: 178.93.160.236:443 | 地区: SG
NO.64 | 流媒体网速: 24.16 MB/s | IP地址: 18.179.10.27:8443 | 地区: JP
NO.65 | 流媒体网速: 24.16 MB/s | IP地址: 168.144.102.226:443 | 地区: SG
NO.66 | 流媒体网速: 24.15 MB/s | IP地址: 103.27.187.254:443 | 地区: JP
NO.67 | 流媒体网速: 24.14 MB/s | IP地址: 165.245.181.71:443 | 地区: SG
NO.68 | 流媒体网速: 24.13 MB/s | IP地址: 165.245.181.72:443 | 地区: SG
NO.69 | 流媒体网速: 24.11 MB/s | IP地址: 157.230.39.201:2053 | 地区: SG
NO.70 | 流媒体网速: 24.09 MB/s | IP地址: 45.92.159.23:443 | 地区: JP
NO.71 | 流媒体网速: 24.08 MB/s | IP地址: 178.128.95.74:443 | 地区: SG
NO.72 | 流媒体网速: 24.07 MB/s | IP地址: 45.192.197.229:8443 | 地区: JP
NO.73 | 流媒体网速: 24.03 MB/s | IP地址: 168.144.45.134:8443 | 地区: SG
NO.74 | 流媒体网速: 24.02 MB/s | IP地址: 129.212.239.59:443 | 地区: SG
NO.75 | 流媒体网速: 24.02 MB/s | IP地址: 152.42.246.230:443 | 地区: SG
NO.76 | 流媒体网速: 23.97 MB/s | IP地址: 167.71.213.95:443 | 地区: SG
NO.77 | 流媒体网速: 23.93 MB/s | IP地址: 165.22.99.214:443 | 地区: SG
NO.78 | 流媒体网速: 23.93 MB/s | IP地址: 168.144.36.249:443 | 地区: SG
NO.79 | 流媒体网速: 23.89 MB/s | IP地址: 167.71.198.82:8443 | 地区: SG
NO.80 | 流媒体网速: 23.86 MB/s | IP地址: 152.42.246.148:443 | 地区: SG
NO.81 | 流媒体网速: 23.84 MB/s | IP地址: 178.128.220.178:443 | 地区: SG
NO.82 | 流媒体网速: 23.84 MB/s | IP地址: 165.232.175.180:443 | 地区: SG
NO.83 | 流媒体网速: 23.81 MB/s | IP地址: 157.230.248.87:443 | 地区: SG
NO.84 | 流媒体网速: 23.80 MB/s | IP地址: 14.137.230.82:8443 | 地区: JP
NO.85 | 流媒体网速: 23.78 MB/s | IP地址: 167.172.75.2:443 | 地区: SG
NO.86 | 流媒体网速: 23.75 MB/s | IP地址: 157.245.56.32:443 | 地区: SG
NO.87 | 流媒体网速: 23.72 MB/s | IP地址: 146.190.97.53:443 | 地区: SG
NO.88 | 流媒体网速: 23.71 MB/s | IP地址: 157.245.144.174:443 | 地区: SG
NO.89 | 流媒体网速: 23.71 MB/s | IP地址: 152.42.198.52:8443 | 地区: SG
NO.90 | 流媒体网速: 23.53 MB/s | IP地址: 168.144.103.195:443 | 地区: SG
NO.91 | 流媒体网速: 23.47 MB/s | IP地址: 146.190.100.44:443 | 地区: SG
NO.92 | 流媒体网速: 23.44 MB/s | IP地址: 129.212.229.240:443 | 地区: SG
NO.93 | 流媒体网速: 23.40 MB/s | IP地址: 161.118.210.121:443 | 地区: SG
NO.94 | 流媒体网速: 23.39 MB/s | IP地址: 129.212.239.183:443 | 地区: SG
NO.95 | 流媒体网速: 23.38 MB/s | IP地址: 45.8.173.197:443 | 地区: JP
NO.96 | 流媒体网速: 23.34 MB/s | IP地址: 45.142.166.211:443 | 地区: JP
NO.97 | 流媒体网速: 23.26 MB/s | IP地址: 15.168.27.230:443 | 地区: JP
NO.98 | 流媒体网速: 23.21 MB/s | IP地址: 168.144.41.69:443 | 地区: SG
NO.99 | 流媒体网速: 23.19 MB/s | IP地址: 152.42.246.237:443 | 地区: SG
NO.100 | 流媒体网速: 23.19 MB/s | IP地址: 129.212.236.5:443 | 地区: SG
NO.101 | 流媒体网速: 23.15 MB/s | IP地址: 134.185.91.72:443 | 地区: SG
NO.102 | 流媒体网速: 23.13 MB/s | IP地址: 152.67.214.155:443 | 地区: KR
NO.103 | 流媒体网速: 23.10 MB/s | IP地址: 152.42.169.132:443 | 地区: SG
