==========================================================
     YouTube 专用优选网速排名（第一行最适合看视频）
==========================================================

NO.1 | 流媒体网速: 26.59 MB/s | IP地址: [2a0e:97c0:3f0:1::46e]:443 | 地区: 香港
NO.2 | 流媒体网速: 26.11 MB/s | IP地址: [2401:b60:5:212a:6505:731e:5849:73de]:443 | 地区: 香港
NO.3 | 流媒体网速: 25.88 MB/s | IP地址: [2401:b60:5:37a7:2f38:7df0:4665:1451]:443 | 地区: 香港
NO.4 | 流媒体网速: 25.74 MB/s | IP地址: [2401:b60:5:0:4d6a:67ed:12f7:ed90]:443 | 地区: 香港
NO.5 | 流媒体网速: 25.59 MB/s | IP地址: [2401:ce20:c:efe:a4af:d4d8:c4f4:9b15]:443 | 地区: 日本
NO.6 | 流媒体网速: 25.48 MB/s | IP地址: [2a12:bec0:162:7b7::]:443 | 地区: 台湾
NO.7 | 流媒体网速: 25.38 MB/s | IP地址: [2a0e:97c0:3f0:1::1758]:443 | 地区: 香港
NO.8 | 流媒体网速: 25.28 MB/s | IP地址: [2401:b60:5:0:a09f:afe2:5ef:7e63]:443 | 地区: 香港
NO.9 | 流媒体网速: 25.24 MB/s | IP地址: [2401:b60:5:0:a09f:afe2:5ef:7e63]:2053 | 地区: 香港
NO.10 | 流媒体网速: 25.24 MB/s | IP地址: [2400:6180:0:d2:0:2:f199:5000]:443 | 地区: 新加坡
NO.11 | 流媒体网速: 25.15 MB/s | IP地址: [2401:b60:5:29dc:1997:1061:3131:389]:443 | 地区: 香港
NO.12 | 流媒体网速: 25.02 MB/s | IP地址: [2400:6180:0:d2:0:2:c89c:0]:443 | 地区: 新加坡
NO.13 | 流媒体网速: 24.86 MB/s | IP地址: [2400:6180:0:d2:0:2:c89b:f000]:443 | 地区: 新加坡
NO.14 | 流媒体网速: 24.85 MB/s | IP地址: [2400:6180:0:d2:0:2:e0cf:9000]:443 | 地区: 新加坡
NO.15 | 流媒体网速: 24.77 MB/s | IP地址: [2602:fa4f:b00:4197:199a:c88c:68ff:1fc0]:8443 | 地区: 日本
NO.16 | 流媒体网速: 24.70 MB/s | IP地址: [2401:b60:5:d4e5:139e:a138:6612:cf39]:443 | 地区: 香港
NO.17 | 流媒体网速: 24.67 MB/s | IP地址: [2402:1f00:8001:209f::]:8443 | 地区: 新加坡
NO.18 | 流媒体网速: 24.66 MB/s | IP地址: [2400:6180:0:d2:0:2:e4f6:1000]:443 | 地区: 新加坡
NO.19 | 流媒体网速: 24.59 MB/s | IP地址: [2400:6180:0:d2:0:2:e0ce:8000]:443 | 地区: 新加坡
NO.20 | 流媒体网速: 24.52 MB/s | IP地址: [2a0e:97c0:3f0:1::c25]:443 | 地区: 香港
NO.21 | 流媒体网速: 24.52 MB/s | IP地址: [2400:6180:0:d2:0:2:c89f:7000]:443 | 地区: 新加坡
NO.22 | 流媒体网速: 24.47 MB/s | IP地址: [2400:8901::2000:22ff:fe11:7809]:443 | 地区: 新加坡
NO.23 | 流媒体网速: 24.42 MB/s | IP地址: [2400:6180:0:d2:0:2:c89c:7000]:443 | 地区: 新加坡
NO.24 | 流媒体网速: 24.40 MB/s | IP地址: [2602:f864:229:1d::a]:443 | 地区: 日本
NO.25 | 流媒体网速: 24.39 MB/s | IP地址: [2400:8901::2000:fcff:fe6f:5433]:443 | 地区: 新加坡
NO.26 | 流媒体网速: 24.36 MB/s | IP地址: [2400:8902::2000:a9ff:fef1:40fa]:443 | 地区: 日本
NO.27 | 流媒体网速: 24.33 MB/s | IP地址: [2400:6180:0:d2:0:2:f546:a000]:8443 | 地区: 新加坡
NO.28 | 流媒体网速: 24.28 MB/s | IP地址: [2a12:bec0:162:e1::]:8443 | 地区: 台湾
NO.29 | 流媒体网速: 24.23 MB/s | IP地址: [2400:8901::2000:fbff:fe43:77ef]:443 | 地区: 新加坡
NO.30 | 流媒体网速: 24.20 MB/s | IP地址: [2401:b60:5:72::a]:443 | 地区: 香港
NO.31 | 流媒体网速: 24.10 MB/s | IP地址: [2400:8901::2000:8ff:fe28:d22e]:443 | 地区: 新加坡
NO.32 | 流媒体网速: 24.01 MB/s | IP地址: [2602:f919:106::11f]:443 | 地区: 新加坡
NO.33 | 流媒体网速: 23.92 MB/s | IP地址: [2400:8901::2000:54ff:fe7e:c3a7]:443 | 地区: 新加坡
NO.34 | 流媒体网速: 23.47 MB/s | IP地址: [2a12:bec0:162:723::]:443 | 地区: 台湾
NO.35 | 流媒体网速: 23.46 MB/s | IP地址: [2400:6180:0:d2:0:2:f6b2:d000]:443 | 地区: 新加坡
NO.36 | 流媒体网速: 23.43 MB/s | IP地址: [2400:8901::2000:e6ff:fef1:ef2d]:443 | 地区: 新加坡
NO.37 | 流媒体网速: 23.37 MB/s | IP地址: [2400:6180:0:d2:0:2:db7a:5000]:443 | 地区: 新加坡
NO.38 | 流媒体网速: 23.36 MB/s | IP地址: [2400:8901::2000:13ff:fe0e:229]:443 | 地区: 新加坡
NO.39 | 流媒体网速: 23.31 MB/s | IP地址: [2400:6180:0:d2:0:3:115f:e000]:8443 | 地区: 新加坡
NO.40 | 流媒体网速: 23.26 MB/s | IP地址: [2400:6180:0:d2:0:2:c89c:8000]:443 | 地区: 新加坡
NO.41 | 流媒体网速: 23.20 MB/s | IP地址: [2400:6180:0:d2:0:2:c89f:1000]:443 | 地区: 新加坡
NO.42 | 流媒体网速: 23.19 MB/s | IP地址: [2400:6180:0:d2:0:2:c89f:9000]:443 | 地区: 新加坡
NO.43 | 流媒体网速: 23.12 MB/s | IP地址: [2400:6180:0:d2:0:3:2f7:0]:443 | 地区: 新加坡
NO.44 | 流媒体网速: 23.07 MB/s | IP地址: [2400:6180:0:d2:0:2:d627:4000]:443 | 地区: 新加坡
NO.45 | 流媒体网速: 23.02 MB/s | IP地址: [2402:5fa0:1:40::89]:443 | 地区: 新加坡
NO.46 | 流媒体网速: 22.91 MB/s | IP地址: [2402:5fa0:1:40::ae]:443 | 地区: 新加坡
NO.47 | 流媒体网速: 22.66 MB/s | IP地址: [2602:fa4f:b00:e55e:d96c:91de:9bd5:99aa]:443 | 地区: 日本
NO.48 | 流媒体网速: 22.54 MB/s | IP地址: [2400:6180:0:d2:0:2:c89c:2000]:443 | 地区: 新加坡
NO.49 | 流媒体网速: 22.26 MB/s | IP地址: [2400:6180:0:d0::64:9001]:443 | 地区: 新加坡
NO.50 | 流媒体网速: 22.25 MB/s | IP地址: [2400:6180:0:d2:0:3:103c:3000]:443 | 地区: 新加坡
NO.51 | 流媒体网速: 22.13 MB/s | IP地址: [2400:6180:0:d2:0:2:f311:c000]:443 | 地区: 新加坡
NO.52 | 流媒体网速: 21.98 MB/s | IP地址: [2401:b60:5:a4a7:83e3:9460:4b86:3b1b]:443 | 地区: 香港
NO.53 | 流媒体网速: 21.64 MB/s | IP地址: [2a0e:97c0:3f0:1::24fd]:443 | 地区: 香港
NO.54 | 流媒体网速: 21.42 MB/s | IP地址: [2400:6180:0:d2:0:2:fd26:b000]:443 | 地区: 新加坡
NO.55 | 流媒体网速: 21.35 MB/s | IP地址: [2a0e:97c0:3f4:1::af5]:8443 | 地区: 日本
NO.56 | 流媒体网速: 21.34 MB/s | IP地址: [2407:cdc0:f008:423::]:443 | 地区: 台湾
NO.57 | 流媒体网速: 21.09 MB/s | IP地址: [2400:6180:0:d2:0:3:1a85:a000]:443 | 地区: 新加坡
NO.58 | 流媒体网速: 21.00 MB/s | IP地址: [2401:ce20:c:dd7:1c97:167f:3264:a599]:443 | 地区: 日本
NO.59 | 流媒体网速: 21.00 MB/s | IP地址: [2603:c024:1:336e:c6e8:abcb:7fbc:eb6e]:443 | 地区: 韩国
NO.60 | 流媒体网速: 20.81 MB/s | IP地址: [2401:b60:5:14ac:9392:7d14:3d74:ee71]:443 | 地区: 香港
NO.61 | 流媒体网速: 20.73 MB/s | IP地址: [2403:18c0:1000:1f3:549d:32ff:feb5:ceff]:8443 | 地区: 日本
NO.62 | 流媒体网速: 20.64 MB/s | IP地址: [2a0e:97c0:3f0:1::156c]:443 | 地区: 香港
NO.63 | 流媒体网速: 20.59 MB/s | IP地址: [2a12:bec0:165:444::]:443 | 地区: 日本
NO.64 | 流媒体网速: 20.29 MB/s | IP地址: [2a0e:97c0:3f0:1::1bbf]:443 | 地区: 香港
NO.65 | 流媒体网速: 19.82 MB/s | IP地址: [2603:c024:13:7b00:7d4a:e680:57ca:4f47]:443 | 地区: 韩国
NO.66 | 流媒体网速: 19.48 MB/s | IP地址: [2001:df1:7880:1::95]:443 | 地区: 香港
NO.67 | 流媒体网速: 18.79 MB/s | IP地址: [2400:6180:0:d2:0:2:ffd2:f000]:443 | 地区: 新加坡
NO.68 | 流媒体网速: 18.02 MB/s | IP地址: [2400:8902::2000:e5ff:fe97:b44a]:443 | 地区: 日本
NO.69 | 流媒体网速: 17.88 MB/s | IP地址: [2401:c080:1c02:6b:5400:6ff:fe24:43a2]:443 | 地区: 韩国
NO.70 | 流媒体网速: 17.83 MB/s | IP地址: [2602:fa4f:b00:c066:212e:a11e:99de:2166]:443 | 地区: 日本
NO.71 | 流媒体网速: 17.77 MB/s | IP地址: [2400:6180:0:d2:0:3:102e:4000]:443 | 地区: 新加坡
NO.72 | 流媒体网速: 17.74 MB/s | IP地址: [2602:fd6f:80::31]:443 | 地区: 日本
NO.73 | 流媒体网速: 17.24 MB/s | IP地址: [2401:c080:1c02:111c:5400:6ff:fe73:ea5a]:443 | 地区: 韩国
NO.74 | 流媒体网速: 17.23 MB/s | IP地址: [2400:6180:0:d2:0:3:1cd0:7000]:443 | 地区: 新加坡
NO.75 | 流媒体网速: 17.23 MB/s | IP地址: [2602:fd6f:100:34::a]:443 | 地区: 日本
NO.76 | 流媒体网速: 16.88 MB/s | IP地址: [2602:fa4f:b00:d468:449a:b42b:22a4:e3cc]:8443 | 地区: 日本
NO.77 | 流媒体网速: 16.75 MB/s | IP地址: [2400:8902::f03c:94ff:fe16:8f89]:8443 | 地区: 日本
NO.78 | 流媒体网速: 16.01 MB/s | IP地址: [2401:c080:1000:2301:5400:6ff:fe7a:d38b]:443 | 地区: 日本
NO.79 | 流媒体网速: 15.88 MB/s | IP地址: [2401:c080:1000:12b7:5400:6ff:fe1b:8af0]:443 | 地区: 日本
NO.80 | 流媒体网速: 15.67 MB/s | IP地址: [2001:19f0:8000:47ea:5400:6ff:fe0e:829d]:443 | 地区: 美国-西雅图
NO.81 | 流媒体网速: 15.55 MB/s | IP地址: [2401:c080:1000:125a:5400:5ff:fed2:907c]:443 | 地区: 日本
NO.82 | 流媒体网速: 15.50 MB/s | IP地址: [2001:19f0:6000:2b64:5400:6ff:fe76:4056]:443 | 地区: 美国-洛杉矶
NO.83 | 流媒体网速: 15.38 MB/s | IP地址: [2402:a7c0:3003:112:1c00:96ff:fe00:909]:443 | 地区: 新加坡
NO.84 | 流媒体网速: 15.18 MB/s | IP地址: [2602:fd6f:100:f::a]:443 | 地区: 日本
NO.85 | 流媒体网速: 15.18 MB/s | IP地址: [2400:8902::f03c:93ff:fef8:ab7b]:443 | 地区: 日本
NO.86 | 流媒体网速: 15.12 MB/s | IP地址: [2001:19f0:6001:204f:5400:6ff:fe40:7c63]:443 | 地区: 美国-洛杉矶
NO.87 | 流媒体网速: 15.10 MB/s | IP地址: [2001:df6:3bc0::13]:443 | 地区: 香港
NO.88 | 流媒体网速: 15.08 MB/s | IP地址: [2605:52c0:1:1e40:be24:11ff:fe1d:63e4]:8443 | 地区: 美国-洛杉矶
NO.89 | 流媒体网速: 14.96 MB/s | IP地址: [2001:19f0:6000:3678:5400:5ff:fefc:316]:443 | 地区: 美国-洛杉矶
NO.90 | 流媒体网速: 14.80 MB/s | IP地址: [2a01:ecc0:c80:55::2]:443 | 地区: 荷兰
NO.91 | 流媒体网速: 14.69 MB/s | IP地址: [2401:c080:1000:3c14:5400:6ff:fe96:84db]:8443 | 地区: 日本
NO.92 | 流媒体网速: 14.46 MB/s | IP地址: [2001:19f0:ac00:3ae8:5400:5ff:fef8:eb08]:8443 | 地区: 美国-圣何塞
NO.93 | 流媒体网速: 14.27 MB/s | IP地址: [2400:38e0:1:40d1::ab]:443 | 地区: 日本
NO.94 | 流媒体网速: 14.09 MB/s | IP地址: [2001:19f0:6001:43a5:5400:6ff:fe69:e187]:443 | 地区: 美国-洛杉矶
NO.95 | 流媒体网速: 14.08 MB/s | IP地址: [2400:8902::2000:65ff:fe5c:7239]:443 | 地区: 日本
NO.96 | 流媒体网速: 14.03 MB/s | IP地址: [2401:c080:1c00:2a83:5400:6ff:fe77:6b60]:443 | 地区: 韩国
NO.97 | 流媒体网速: 13.97 MB/s | IP地址: [2401:c080:1000:515f:5400:6ff:fe9c:586f]:443 | 地区: 日本
NO.98 | 流媒体网速: 13.82 MB/s | IP地址: [2001:19f0:6000:9ddf:5400:6ff:fe21:2c73]:443 | 地区: 美国-洛杉矶
NO.99 | 流媒体网速: 13.74 MB/s | IP地址: [2607:f130:0:187::d973:4343]:443 | 地区: 美国
NO.100 | 流媒体网速: 13.72 MB/s | IP地址: [2602:fa59:10:ed::1]:443 | 地区: 美国-洛杉矶
NO.101 | 流媒体网速: 13.24 MB/s | IP地址: [2001:19f0:6000:3799:5400:5ff:fee3:cf1]:443 | 地区: 美国-洛杉矶
NO.102 | 流媒体网速: 13.16 MB/s | IP地址: [2001:19f0:6001:42a6:5400:6ff:fe3a:362]:443 | 地区: 美国-洛杉矶
NO.103 | 流媒体网速: 12.97 MB/s | IP地址: [2001:19f0:6000:95c5:5400:6ff:fe4c:e408]:443 | 地区: 美国-洛杉矶
NO.104 | 流媒体网速: 12.74 MB/s | IP地址: [2604:a880:4:1d0:0:2:e666:9000]:443 | 地区: 美国-圣何塞
NO.105 | 流媒体网速: 12.70 MB/s | IP地址: [2001:19f0:8001:5a9:5400:6ff:fe8f:d2f5]:443 | 地区: 美国-西雅图
NO.106 | 流媒体网速: 12.70 MB/s | IP地址: [2401:c080:1c02:878:5400:5ff:fee9:ed95]:443 | 地区: 韩国
NO.107 | 流媒体网速: 12.59 MB/s | IP地址: [2001:19f0:6001:4166:5400:6ff:fe3f:b2f3]:443 | 地区: 美国-洛杉矶
NO.108 | 流媒体网速: 12.57 MB/s | IP地址: [2602:fce1:424:10c::a]:443 | 地区: 美国-洛杉矶
NO.109 | 流媒体网速: 12.42 MB/s | IP地址: [2001:19f0:8001:1b44:5400:6ff:fe4b:f80a]:443 | 地区: 美国-西雅图
NO.110 | 流媒体网速: 12.42 MB/s | IP地址: [2001:19f0:6001:5509:5400:6ff:fe37:379a]:443 | 地区: 美国-洛杉矶
NO.111 | 流媒体网速: 12.41 MB/s | IP地址: [2001:19f0:6001:17f:5400:6ff:fe30:ae45]:443 | 地区: 美国-洛杉矶
NO.112 | 流媒体网速: 12.30 MB/s | IP地址: [2001:19f0:8000:47b7:5400:6ff:fe76:7f9b]:443 | 地区: 美国-西雅图
NO.113 | 流媒体网速: 12.23 MB/s | IP地址: [2001:19f0:ac01:891:5400:6ff:fe05:79f4]:8443 | 地区: 美国-圣何塞
NO.114 | 流媒体网速: 12.12 MB/s | IP地址: [2001:19f0:6000:3a2f:5400:6ff:fe9c:a621]:443 | 地区: 美国-洛杉矶
NO.115 | 流媒体网速: 12.01 MB/s | IP地址: [2001:19f0:ac01:1938:5400:6ff:fe7f:9cba]:2083 | 地区: 美国-圣何塞
NO.116 | 流媒体网速: 11.97 MB/s | IP地址: [2a12:bec4:1ac0:c17::]:443 | 地区: 荷兰
