综合一
NO.1 | 评分: 94.6 | 中位速度: 22.75 MB/s | 最低速度: 20.42 MB/s | 延迟: 49ms | 抖动: 2ms | IP地址: [2400:c620:22:22e::a]:443 | 地区: HKG 香港
NO.2 | 评分: 93.9 | 中位速度: 27.11 MB/s | 最低速度: 21.11 MB/s | 延迟: 60ms | 抖动: 0ms | IP地址: [2401:b60:5:af2f:9dde:8832:7be9:3d72]:443 | 地区: HKG 香港
NO.3 | 评分: 93.7 | 中位速度: 21.77 MB/s | 最低速度: 19.35 MB/s | 延迟: 62ms | 抖动: 0ms | IP地址: [2401:b60:5:f602:766:c184:4c34:4770]:443 | 地区: HKG 香港
NO.4 | 评分: 93.2 | 中位速度: 26.56 MB/s | 最低速度: 22.39 MB/s | 延迟: 56ms | 抖动: 6ms | IP地址: [2a0e:97c0:3f0:1::be5]:443 | 地区: HKG 香港
NO.5 | 评分: 93.1 | 中位速度: 21.16 MB/s | 最低速度: 14.96 MB/s | 延迟: 54ms | 抖动: 7ms | IP地址: [2a14:4900:2201:c6b::b68]:443 | 地区: HKG 香港
NO.6 | 评分: 93.0 | 中位速度: 23.86 MB/s | 最低速度: 22.91 MB/s | 延迟: 59ms | 抖动: 5ms | IP地址: [2403:27c0:c03:1::62]:443 | 地区: HKG 香港
NO.7 | 评分: 92.9 | 中位速度: 25.63 MB/s | 最低速度: 19.13 MB/s | 延迟: 59ms | 抖动: 6ms | IP地址: [2a0e:97c0:7d7:4220:6da2:a75e:1c21:8523]:8443 | 地区: HKG 香港
NO.8 | 评分: 92.9 | 中位速度: 24.64 MB/s | 最低速度: 24.04 MB/s | 延迟: 69ms | 抖动: 1ms | IP地址: [2401:b60:5:f602:766:c184:4c34:4770]:8443 | 地区: HKG 香港
NO.9 | 评分: 92.9 | 中位速度: 26.12 MB/s | 最低速度: 24.80 MB/s | 延迟: 67ms | 抖动: 2ms | IP地址: [2401:b60:5:41c8:9da9:e73b:e59d:1c13]:443 | 地区: HKG 香港
NO.10 | 评分: 92.7 | 中位速度: 21.79 MB/s | 最低速度: 17.29 MB/s | 延迟: 67ms | 抖动: 3ms | IP地址: [2401:b60:5:1b5::a]:443 | 地区: HKG 香港
NO.11 | 评分: 92.3 | 中位速度: 16.55 MB/s | 最低速度: 15.70 MB/s | 延迟: 77ms | 抖动: 0ms | IP地址: [2406:da14:9d2:c900:e53a:33b7:5cc9:2081]:8443 | 地区: NRT 日本东京
NO.12 | 评分: 92.3 | 中位速度: 21.72 MB/s | 最低速度: 20.85 MB/s | 延迟: 57ms | 抖动: 10ms | IP地址: [2403:27c0:c03:1::1b]:443 | 地区: HKG 香港
NO.13 | 评分: 92.2 | 中位速度: 15.57 MB/s | 最低速度: 12.45 MB/s | 延迟: 77ms | 抖动: 1ms | IP地址: [2602:f3f2:cb:9499:c57f:cb11:bfae:ee72]:443 | 地区: NRT 日本东京
NO.14 | 评分: 92.0 | 中位速度: 16.50 MB/s | 最低速度: 14.89 MB/s | 延迟: 65ms | 抖动: 7ms | IP地址: [2401:b60:5:fec1:739d:1ae:93ad:c508]:443 | 地区: HKG 香港
