==========================================================
   YouTube 专用优选排名（综合速度+延迟+稳定性，第一行最优）
==========================================================

说明：评分综合考虑了下载速度（超过25Mbps不再加分，4K够用）、
连接延迟、以及网络抖动（稳定性），而不是单纯速度越快越靠前。

NO.1 | 评分: 93.9 | 中位速度: 5.27 MB/s | 最低速度: 4.55 MB/s | 延迟: 37ms | 抖动: 12ms | IP地址: 58.247.200.18:443 | 地区: 未知地区
NO.2 | 评分: 93.7 | 中位速度: 3.63 MB/s | 最低速度: 3.63 MB/s | 延迟: 61ms | 抖动: 1ms | IP地址: 154.3.35.193:2053 | 地区: 未知地区
NO.3 | 评分: 89.5 | 中位速度: 4.18 MB/s | 最低速度: 2.72 MB/s | 延迟: 60ms | 抖动: 1ms | IP地址: 45.221.115.170:443 | 地区: 未知地区
NO.4 | 评分: 88.7 | 中位速度: 11.75 MB/s | 最低速度: 10.96 MB/s | 延迟: 71ms | 抖动: 21ms | IP地址: 8.134.218.35:443 | 地区: 未知地区
NO.5 | 评分: 84.6 | 中位速度: 4.52 MB/s | 最低速度: 2.68 MB/s | 延迟: 72ms | 抖动: 16ms | IP地址: 38.207.176.130:443 | 地区: 未知地区
NO.6 | 评分: 84.0 | 中位速度: 8.50 MB/s | 最低速度: 8.23 MB/s | 延迟: 157ms | 抖动: 1ms | IP地址: 154.64.236.54:443 | 地区: 未知地区
NO.7 | 评分: 83.9 | 中位速度: 7.96 MB/s | 最低速度: 7.53 MB/s | 延迟: 158ms | 抖动: 2ms | IP地址: 179.253.225.21:443 | 地区: 未知地区
NO.8 | 评分: 83.7 | 中位速度: 12.06 MB/s | 最低速度: 10.68 MB/s | 延迟: 151ms | 抖动: 6ms | IP地址: 45.147.48.93:443 | 地区: 未知地区
NO.9 | 评分: 82.9 | 中位速度: 7.54 MB/s | 最低速度: 7.32 MB/s | 延迟: 169ms | 抖动: 1ms | IP地址: 154.64.236.247:443 | 地区: 未知地区
NO.10 | 评分: 82.7 | 中位速度: 11.73 MB/s | 最低速度: 11.00 MB/s | 延迟: 172ms | 抖动: 0ms | IP地址: 64.186.247.122:8443 | 地区: 未知地区
NO.11 | 评分: 81.3 | 中位速度: 8.08 MB/s | 最低速度: 6.47 MB/s | 延迟: 180ms | 抖动: 3ms | IP地址: 207.57.140.85:8443 | 地区: 未知地区
NO.12 | 评分: 81.0 | 中位速度: 7.92 MB/s | 最低速度: 7.84 MB/s | 延迟: 163ms | 抖动: 14ms | IP地址: 154.64.235.219:443 | 地区: 未知地区
NO.13 | 评分: 80.6 | 中位速度: 8.21 MB/s | 最低速度: 8.21 MB/s | 延迟: 172ms | 抖动: 11ms | IP地址: 104.245.13.129:8443 | 地区: 未知地区
NO.14 | 评分: 80.2 | 中位速度: 6.88 MB/s | 最低速度: 6.36 MB/s | 延迟: 195ms | 抖动: 1ms | IP地址: 38.244.45.74:443 | 地区: 未知地区
NO.15 | 评分: 80.1 | 中位速度: 12.93 MB/s | 最低速度: 12.59 MB/s | 延迟: 157ms | 抖动: 21ms | IP地址: 64.118.159.219:443 | 地区: 未知地区
NO.16 | 评分: 79.5 | 中位速度: 8.81 MB/s | 最低速度: 8.61 MB/s | 延迟: 201ms | 抖动: 2ms | IP地址: 198.2.237.25:8443 | 地区: 未知地区
NO.17 | 评分: 78.9 | 中位速度: 8.73 MB/s | 最低速度: 8.10 MB/s | 延迟: 190ms | 抖动: 10ms | IP地址: 45.59.131.33:443 | 地区: 未知地区
NO.18 | 评分: 78.5 | 中位速度: 8.53 MB/s | 最低速度: 8.34 MB/s | 延迟: 168ms | 抖动: 23ms | IP地址: 154.64.235.116:443 | 地区: 未知地区
NO.19 | 评分: 78.4 | 中位速度: 7.96 MB/s | 最低速度: 7.92 MB/s | 延迟: 171ms | 抖动: 23ms | IP地址: 38.148.253.82:8443 | 地区: 未知地区
NO.20 | 评分: 78.2 | 中位速度: 8.15 MB/s | 最低速度: 7.37 MB/s | 延迟: 185ms | 抖动: 17ms | IP地址: 38.55.111.161:443 | 地区: 未知地区
NO.21 | 评分: 78.0 | 中位速度: 7.43 MB/s | 最低速度: 7.39 MB/s | 延迟: 180ms | 抖动: 20ms | IP地址: 154.64.235.168:443 | 地区: 未知地区
NO.22 | 评分: 76.1 | 中位速度: 11.03 MB/s | 最低速度: 10.52 MB/s | 延迟: 181ms | 抖动: 29ms | IP地址: 193.163.19.232:443 | 地区: 未知地区
NO.23 | 评分: 75.8 | 中位速度: 7.24 MB/s | 最低速度: 7.05 MB/s | 延迟: 180ms | 抖动: 31ms | IP地址: 45.59.131.119:443 | 地区: 未知地区
NO.24 | 评分: 75.1 | 中位速度: 3.52 MB/s | 最低速度: 2.25 MB/s | 延迟: 92ms | 抖动: 18ms | IP地址: 147.79.20.129:443 | 地区: 未知地区
NO.25 | 评分: 72.3 | 中位速度: 3.53 MB/s | 最低速度: 1.88 MB/s | 延迟: 71ms | 抖动: 11ms | IP地址: 38.207.178.173:2087 | 地区: 未知地区
NO.26 | 评分: 71.6 | 中位速度: 1.94 MB/s | 最低速度: 1.72 MB/s | 延迟: 54ms | 抖动: 10ms | IP地址: 2.27.109.236:443 | 地区: 未知地区
NO.27 | 评分: 69.1 | 中位速度: 2.45 MB/s | 最低速度: 1.87 MB/s | 延迟: 76ms | 抖动: 24ms | IP地址: 193.134.211.209:443 | 地区: 未知地区
NO.28 | 评分: 65.4 | 中位速度: 1.80 MB/s | 最低速度: 1.63 MB/s | 延迟: 75ms | 抖动: 23ms | IP地址: 68.64.178.42:443 | 地区: 未知地区
NO.29 | 评分: 65.0 | 中位速度: 1.45 MB/s | 最低速度: 1.27 MB/s | 延迟: 62ms | 抖动: 1ms | IP地址: 209.33.166.199:443 | 地区: 未知地区
NO.30 | 评分: 59.0 | 中位速度: 1.19 MB/s | 最低速度: 939 KB/s | 延迟: 61ms | 抖动: 2ms | IP地址: 91.213.174.82:443 | 地区: 未知地区
NO.31 | 评分: 58.6 | 中位速度: 1.62 MB/s | 最低速度: 916 KB/s | 延迟: 60ms | 抖动: 2ms | IP地址: 85.121.51.14:2083 | 地区: 未知地区
NO.32 | 评分: 57.2 | 中位速度: 1.01 MB/s | 最低速度: 1010 KB/s | 延迟: 69ms | 抖动: 12ms | IP地址: 91.213.186.189:443 | 地区: 未知地区
NO.33 | 评分: 56.7 | 中位速度: 1.47 MB/s | 最低速度: 979 KB/s | 延迟: 88ms | 抖动: 3ms | IP地址: 178.239.117.205:8443 | 地区: 未知地区
NO.34 | 评分: 56.2 | 中位速度: 2.52 MB/s | 最低速度: 1.24 MB/s | 延迟: 110ms | 抖动: 18ms | IP地址: 104.105.128.153:443 | 地区: 未知地区
NO.35 | 评分: 54.7 | 中位速度: 1.18 MB/s | 最低速度: 1.02 MB/s | 延迟: 93ms | 抖动: 16ms | IP地址: 175.29.23.34:443 | 地区: 未知地区
NO.36 | 评分: 54.5 | 中位速度: 992 KB/s | 最低速度: 788 KB/s | 延迟: 64ms | 抖动: 10ms | IP地址: 68.64.182.121:443 | 地区: 未知地区
NO.37 | 评分: 53.4 | 中位速度: 1.14 MB/s | 最低速度: 977 KB/s | 延迟: 96ms | 抖动: 15ms | IP地址: 152.42.254.219:443 | 地区: 未知地区
