==========================================================
     YouTube 专用优选网速排名（第一行最适合看视频）
==========================================================

NO.1 | 流媒体网速: 15.91 MB/s | IP地址: 45.147.48.93:443 | 地区: 未知地区
NO.2 | 流媒体网速: 15.07 MB/s | IP地址: 64.186.247.122:8443 | 地区: 未知地区
NO.3 | 流媒体网速: 14.38 MB/s | IP地址: 198.2.237.25:8443 | 地区: 未知地区
NO.4 | 流媒体网速: 13.13 MB/s | IP地址: 193.163.19.232:443 | 地区: 未知地区
NO.5 | 流媒体网速: 11.53 MB/s | IP地址: 8.134.218.35:443 | 地区: 未知地区
NO.6 | 流媒体网速: 11.19 MB/s | IP地址: 45.59.131.33:443 | 地区: 未知地区
NO.7 | 流媒体网速: 10.68 MB/s | IP地址: 154.64.235.219:443 | 地区: 未知地区
NO.8 | 流媒体网速: 10.56 MB/s | IP地址: 38.55.111.161:443 | 地区: 未知地区
NO.9 | 流媒体网速: 10.41 MB/s | IP地址: 154.64.235.168:443 | 地区: 未知地区
NO.10 | 流媒体网速: 10.16 MB/s | IP地址: 207.57.140.85:8443 | 地区: 未知地区
NO.11 | 流媒体网速: 9.50 MB/s | IP地址: 154.64.236.56:443 | 地区: 未知地区
NO.12 | 流媒体网速: 8.96 MB/s | IP地址: 154.64.236.247:443 | 地区: 未知地区
NO.13 | 流媒体网速: 8.70 MB/s | IP地址: 154.64.235.116:443 | 地区: 未知地区
NO.14 | 流媒体网速: 8.08 MB/s | IP地址: 154.17.233.72:8443 | 地区: 未知地区
NO.15 | 流媒体网速: 7.62 MB/s | IP地址: 38.148.253.82:8443 | 地区: 未知地区
NO.16 | 流媒体网速: 6.15 MB/s | IP地址: 45.59.131.119:443 | 地区: 未知地区
NO.17 | 流媒体网速: 6.04 MB/s | IP地址: 192.204.58.167:8443 | 地区: 未知地区
NO.18 | 流媒体网速: 5.93 MB/s | IP地址: 38.244.45.74:443 | 地区: 未知地区
NO.19 | 流媒体网速: 5.12 MB/s | IP地址: 64.118.159.219:443 | 地区: 未知地区
NO.20 | 流媒体网速: 4.44 MB/s | IP地址: 45.147.48.115:2053 | 地区: 未知地区
NO.21 | 流媒体网速: 4.39 MB/s | IP地址: 154.64.236.54:443 | 地区: 未知地区
NO.22 | 流媒体网速: 3.08 MB/s | IP地址: 38.207.178.173:2087 | 地区: 未知地区
NO.23 | 流媒体网速: 2.86 MB/s | IP地址: 216.36.110.48:443 | 地区: 未知地区
NO.24 | 流媒体网速: 2.22 MB/s | IP地址: 58.247.200.18:443 | 地区: 未知地区
NO.25 | 流媒体网速: 2.22 MB/s | IP地址: 85.121.51.14:2087 | 地区: 未知地区
NO.26 | 流媒体网速: 1.41 MB/s | IP地址: 45.221.115.170:443 | 地区: 未知地区
NO.27 | 流媒体网速: 1.29 MB/s | IP地址: 91.213.174.82:443 | 地区: 未知地区
NO.28 | 流媒体网速: 1.08 MB/s | IP地址: 68.64.182.121:443 | 地区: 未知地区
NO.29 | 流媒体网速: 1.04 MB/s | IP地址: 91.213.186.189:443 | 地区: 未知地区
NO.30 | 流媒体网速: 1004 KB/s | IP地址: 147.79.20.129:443 | 地区: 未知地区
NO.31 | 流媒体网速: 904 KB/s | IP地址: 178.128.220.178:443 | 地区: 未知地区
NO.32 | 流媒体网速: 862 KB/s | IP地址: 178.239.117.205:8443 | 地区: 未知地区
NO.33 | 流媒体网速: 760 KB/s | IP地址: 82.108.155.108:443 | 地区: 未知地区
NO.34 | 流媒体网速: 621 KB/s | IP地址: 91.213.174.177:443 | 地区: 未知地区
NO.35 | 流媒体网速: 612 KB/s | IP地址: 175.29.23.34:443 | 地区: 未知地区
NO.36 | 流媒体网速: 595 KB/s | IP地址: 131.143.215.160:443 | 地区: 未知地区
NO.37 | 流媒体网速: 579 KB/s | IP地址: 168.144.97.78:443 | 地区: 未知地区
NO.38 | 流媒体网速: 470 KB/s | IP地址: 2.27.109.236:443 | 地区: 未知地区
NO.39 | 流媒体网速: 457 KB/s | IP地址: 209.33.166.199:443 | 地区: 未知地区
NO.40 | 流媒体网速: 432 KB/s | IP地址: 85.121.51.14:2083 | 地区: 未知地区
NO.41 | 流媒体网速: 422 KB/s | IP地址: 144.48.4.159:443 | 地区: 未知地区
NO.42 | 流媒体网速: 422 KB/s | IP地址: 178.83.206.250:443 | 地区: 未知地区
NO.43 | 流媒体网速: 410 KB/s | IP地址: 147.79.20.197:443 | 地区: 未知地区
NO.44 | 流媒体网速: 403 KB/s | IP地址: 154.21.80.55:8443 | 地区: 未知地区
NO.45 | 流媒体网速: 369 KB/s | IP地址: 175.29.23.179:443 | 地区: 未知地区
NO.46 | 流媒体网速: 352 KB/s | IP地址: 38.207.176.130:443 | 地区: 未知地区
NO.47 | 流媒体网速: 336 KB/s | IP地址: 168.144.45.134:8443 | 地区: 未知地区
NO.48 | 流媒体网速: 330 KB/s | IP地址: 91.213.174.177:443 | 地区: 未知地区
NO.49 | 流媒体网速: 310 KB/s | IP地址: 104.105.128.153:443 | 地区: 未知地区
NO.50 | 流媒体网速: 309 KB/s | IP地址: 159.89.199.63:443 | 地区: 未知地区
NO.51 | 流媒体网速: 306 KB/s | IP地址: 138.2.66.236:443 | 地区: 未知地区
NO.52 | 流媒体网速: 297 KB/s | IP地址: 178.128.223.148:443 | 地区: 未知地区
NO.53 | 流媒体网速: 290 KB/s | IP地址: 152.42.254.219:443 | 地区: 未知地区
NO.54 | 流媒体网速: 273 KB/s | IP地址: 139.162.70.21:443 | 地区: 未知地区
NO.55 | 流媒体网速: 262 KB/s | IP地址: 193.134.211.209:443 | 地区: 未知地区
NO.56 | 流媒体网速: 253 KB/s | IP地址: 83.147.15.253:443 | 地区: 未知地区
NO.57 | 流媒体网速: 200 KB/s | IP地址: 45.142.125.36:443 | 地区: 未知地区
NO.58 | 流媒体网速: 198 KB/s | IP地址: 188.253.6.249:443 | 地区: 未知地区
NO.59 | 流媒体网速: 187 KB/s | IP地址: 85.121.51.205:443 | 地区: 未知地区
NO.60 | 流媒体网速: 162 KB/s | IP地址: 64.204.49.136:443 | 地区: 未知地区
NO.61 | 流媒体网速: 158 KB/s | IP地址: 217.60.39.139:2053 | 地区: 未知地区
NO.62 | 流媒体网速: 147 KB/s | IP地址: 43.160.241.223:443 | 地区: 未知地区
NO.63 | 流媒体网速: 132 KB/s | IP地址: 172.104.49.9:443 | 地区: 未知地区
NO.64 | 流媒体网速: 131 KB/s | IP地址: 78.105.183.11:8443 | 地区: 未知地区
NO.65 | 流媒体网速: 122 KB/s | IP地址: 31.56.176.44:443 | 地区: 未知地区
NO.66 | 流媒体网速: 122 KB/s | IP地址: 83.147.13.193:443 | 地区: 未知地区
NO.67 | 流媒体网速: 121 KB/s | IP地址: 91.217.139.70:443 | 地区: 未知地区
NO.68 | 流媒体网速: 114 KB/s | IP地址: 142.249.60.51:443 | 地区: 未知地区
NO.69 | 流媒体网速: 106 KB/s | IP地址: 151.242.189.184:443 | 地区: 未知地区
NO.70 | 流媒体网速: 104 KB/s | IP地址: 217.60.63.206:2053 | 地区: 未知地区
NO.71 | 流媒体网速: 99 KB/s | IP地址: 82.108.198.121:443 | 地区: 未知地区
NO.72 | 流媒体网速: 97 KB/s | IP地址: 216.23.93.131:443 | 地区: 未知地区
NO.73 | 流媒体网速: 94 KB/s | IP地址: 208.68.180.204:443 | 地区: 未知地区
NO.74 | 流媒体网速: 90 KB/s | IP地址: 85.237.207.126:443 | 地区: 未知地区
NO.75 | 流媒体网速: 81 KB/s | IP地址: 38.49.36.234:443 | 地区: 未知地区
NO.76 | 流媒体网速: 78 KB/s | IP地址: 31.59.103.152:8443 | 地区: 未知地区
NO.77 | 流媒体网速: 75 KB/s | IP地址: 46.8.225.44:443 | 地区: 未知地区
NO.78 | 流媒体网速: 70 KB/s | IP地址: 141.11.149.78:443 | 地区: 未知地区
NO.79 | 流媒体网速: 68 KB/s | IP地址: 138.124.70.97:443 | 地区: 未知地区
NO.80 | 流媒体网速: 68 KB/s | IP地址: 103.143.81.178:443 | 地区: 未知地区
NO.81 | 流媒体网速: 65 KB/s | IP地址: 154.40.60.193:443 | 地区: 未知地区
NO.82 | 流媒体网速: 61 KB/s | IP地址: 154.3.35.193:2053 | 地区: 未知地区
NO.83 | 流媒体网速: 54 KB/s | IP地址: 45.59.128.165:443 | 地区: 未知地区
NO.84 | 流媒体网速: 54 KB/s | IP地址: 185.92.47.93:443 | 地区: 未知地区
NO.85 | 流媒体网速: 49 KB/s | IP地址: 167.148.203.71:443 | 地区: 未知地区
NO.86 | 流媒体网速: 46 KB/s | IP地址: 95.182.88.243:443 | 地区: 未知地区
NO.87 | 流媒体网速: 43 KB/s | IP地址: 217.60.37.34:443 | 地区: 未知地区
NO.88 | 流媒体网速: 42 KB/s | IP地址: 151.242.188.152:443 | 地区: 未知地区
NO.89 | 流媒体网速: 41 KB/s | IP地址: 138.199.144.252:8443 | 地区: 未知地区
NO.90 | 流媒体网速: 40 KB/s | IP地址: 178.83.206.103:443 | 地区: 未知地区
NO.91 | 流媒体网速: 37 KB/s | IP地址: 31.57.172.215:443 | 地区: 未知地区
NO.92 | 流媒体网速: 37 KB/s | IP地址: 2.27.132.136:443 | 地区: 未知地区
NO.93 | 流媒体网速: 37 KB/s | IP地址: 88.198.240.69:2053 | 地区: 未知地区
NO.94 | 流媒体网速: 35 KB/s | IP地址: 163.5.58.140:443 | 地区: 未知地区
NO.95 | 流媒体网速: 35 KB/s | IP地址: 151.243.229.150:443 | 地区: 未知地区
NO.96 | 流媒体网速: 34 KB/s | IP地址: 163.5.58.77:443 | 地区: 未知地区
NO.97 | 流媒体网速: 32 KB/s | IP地址: 167.148.203.173:443 | 地区: 未知地区
NO.98 | 流媒体网速: 20 KB/s | IP地址: 143.14.189.170:443 | 地区: 未知地区
NO.99 | 流媒体网速: 20 KB/s | IP地址: 140.235.38.47:443 | 地区: 未知地区
NO.100 | 流媒体网速: 19 KB/s | IP地址: 91.107.243.112:2053 | 地区: 未知地区
NO.101 | 流媒体网速: 18 KB/s | IP地址: 46.225.107.73:443 | 地区: 未知地区
