改版后新加坡--------------
 NO.1 | 流媒体网速: 2.17 MB/s | IP地址: 178.128.90.108:443 | 地区:   
 NO.2 | 流媒体网速: 2.16 MB/s | IP地址: 129.150.32.184:443 | 地区:   
 NO.3 | 流媒体网速: 2.16 MB/s | IP地址: 165.245.184.86:2083 | 地区:   
 NO.4 | 流媒体网速: 2.13 MB/s | IP地址: 157.230.248.114:443 | 地区:   
 NO.5 | 流媒体网速: 2.10 MB/s | IP地址: 129.212.239.183:443 | 地区:   
 NO.6 | 流媒体网速: 2.10 MB/s | IP地址: 157.245.144.174:443 | 地区:   
 NO.7 | 流媒体网速: 2.10 MB/s | IP地址: 167.71.220.89:443 | 地区:   
 NO.8 | 流媒体网速: 2.10 MB/s | IP地址: 178.128.114.149:443 | 地区:   
 NO.9 | 流媒体网速: 2.10 MB/s | IP地址: 134.209.101.154:443 | 地区:   
 NO.10 | 流媒体网速: 2.8 MB/s | IP地址: 139.59.97.194:443 | 地区:   
 NO.11 | 流媒体网速: 2.8 MB/s | IP地址: 157.230.32.24:443 | 地区:   
 NO.12 | 流媒体网速: 2.8 MB/s | IP地址: 168.144.33.100:443 | 地区:   
 NO.13 | 流媒体网速: 2.7 MB/s | IP地址: 129.212.232.171:443 | 地区:   
 NO.14 | 流媒体网速: 2.6 MB/s | IP地址: 206.189.147.193:443 | 地区:   
 NO.15 | 流媒体网速: 2.6 MB/s | IP地址: 167.71.219.37:443 | 地区:   
 NO.16 | 流媒体网速: 2.6 MB/s | IP地址: 167.99.77.156:443 | 地区:   
 NO.17 | 流媒体网速: 2.6 MB/s | IP地址: 174.138.20.108:443 | 地区:   
 NO.18 | 流媒体网速: 2.6 MB/s | IP地址: 157.230.243.63:443 | 地区:   
 NO.19 | 流媒体网速: 2.5 MB/s | IP地址: 68.183.225.227:443 | 地区:   
 NO.20 | 流媒体网速: 2.5 MB/s | IP地址: 178.128.97.53:443 | 地区:   
 NO.21 | 流媒体网速: 2.4 MB/s | IP地址: 157.230.39.201:8443 | 地区:   
 NO.22 | 流媒体网速: 2.4 MB/s | IP地址: 139.162.44.222:443 | 地区:   
 NO.23 | 流媒体网速: 2.4 MB/s | IP地址: 178.128.60.89:443 | 地区:   
 NO.24 | 流媒体网速: 2.4 MB/s | IP地址: 167.71.198.82:8443 | 地区:   
 NO.25 | 流媒体网速: 2.4 MB/s | IP地址: 178.128.117.127:443 | 地区:   
 NO.26 | 流媒体网速: 2.4 MB/s | IP地址: 174.138.24.13:443 | 地区:   
 NO.27 | 流媒体网速: 2.4 MB/s | IP地址: 139.59.115.7:443 | 地区:   
 NO.28 | 流媒体网速: 2.4 MB/s | IP地址: 159.65.15.18:443 | 地区:   
 NO.29 | 流媒体网速: 2.4 MB/s | IP地址: 140.245.38.40:2096 | 地区:   
 NO.30 | 流媒体网速: 2.4 MB/s | IP地址: 157.245.151.130:443 | 地区:   
 NO.31 | 流媒体网速: 2.4 MB/s | IP地址: 206.189.95.233:443 | 地区:   
 NO.32 | 流媒体网速: 2.3 MB/s | IP地址: 206.189.146.48:443 | 地区:   
 NO.33 | 流媒体网速: 2.3 MB/s | IP地址: 168.144.109.68:443 | 地区:   
 NO.34 | 流媒体网速: 2.3 MB/s | IP地址: 159.65.143.223:443 | 地区:   
 NO.35 | 流媒体网速: 2.3 MB/s | IP地址: 104.64.223.200:443 | 地区:   
 NO.36 | 流媒体网速: 2.3 MB/s | IP地址: 165.232.175.180:443 | 地区:   
 NO.37 | 流媒体网速: 2.3 MB/s | IP地址: 146.190.97.53:443 | 地区:   
 NO.38 | 流媒体网速: 2.2 MB/s | IP地址: 140.245.57.184:8443 | 地区:   
 NO.39 | 流媒体网速: 2.1 MB/s | IP地址: 158.178.230.113:8443 | 地区:   
 NO.40 | 流媒体网速: 2.1 MB/s | IP地址: 159.223.33.4:443 | 地区:   
 NO.41 | 流媒体网速: 2.1 MB/s | IP地址: 206.189.155.153:443 | 地区:   
 NO.42 | 流媒体网速: 2.1 MB/s | IP地址: 152.42.231.213:443 | 地区:   
 NO.43 | 流媒体网速: 2.1 MB/s | IP地址: 157.245.60.179:443 | 地区:   
 NO.44 | 流媒体网速: 2.1 MB/s | IP地址: 152.42.198.190:443 | 地区:   
 NO.45 | 流媒体网速: 2.1 MB/s | IP地址: 152.42.221.117:443 | 地区:   
 NO.46 | 流媒体网速: 2.0 MB/s | IP地址: 129.212.232.191:443 | 地区:   
 NO.47 | 流媒体网速: 2.0 MB/s | IP地址: 157.230.44.151:443 | 地区:   
 NO.48 | 流媒体网速: 2.0 MB/s | IP地址: 178.128.209.190:443 | 地区:   
 NO.49 | 流媒体网速: 2.0 MB/s | IP地址: 159.223.84.236:443 | 地区:   
 NO.50 | 流媒体网速: 2.0 MB/s | IP地址: 104.248.158.76:443 | 地区:   
 NO.51 | 流媒体网速: 2.0 MB/s | IP地址: 152.42.187.83:443 | 地区:   
 NO.52 | 流媒体网速: 2.0 MB/s | IP地址: 129.212.225.217:443 | 地区:   
 NO.53 | 流媒体网速: 1.99 MB/s | IP地址: 188.166.250.155:443 | 地区:   
 NO.54 | 流媒体网速: 1.99 MB/s | IP地址: 139.59.192.91:443 | 地区:   
 NO.55 | 流媒体网速: 1.99 MB/s | IP地址: 172.236.130.18:443 | 地区:   
 NO.56 | 流媒体网速: 1.99 MB/s | IP地址: 149.118.55.215:8443 | 地区:   
 NO.57 | 流媒体网速: 1.99 MB/s | IP地址: 165.22.110.8:443 | 地区:   
 NO.58 | 流媒体网速: 1.99 MB/s | IP地址: 206.189.82.100:443 | 地区:   
 NO.59 | 流媒体网速: 1.99 MB/s | IP地址: 178.128.99.226:443 | 地区:   
 NO.60 | 流媒体网速: 1.99 MB/s | IP地址: 134.209.98.39:443 | 地区:   

改版后香港-----------------
 
 NO.1 | 流媒体网速: 3.74 MB/s | IP地址: 91.110.174.205:8443 | 地区:   
 NO.2 | 流媒体网速: 3.59 MB/s | IP地址: 152.175.5.161:443 | 地区:   
 NO.3 | 流媒体网速: 3.57 MB/s | IP地址: 91.110.174.210:8443 | 地区:   
 NO.4 | 流媒体网速: 3.52 MB/s | IP地址: 45.192.205.162:443 | 地区:   
 NO.5 | 流媒体网速: 3.48 MB/s | IP地址: 91.110.209.71:443 | 地区:  --- 
 NO.6 | 流媒体网速: 3.48 MB/s | IP地址: 91.110.209.62:443 | 地区:   
 NO.7 | 流媒体网速: 3.47 MB/s | IP地址: 91.110.209.60:443 | 地区:   
 NO.8 | 流媒体网速: 3.46 MB/s | IP地址: 91.110.174.190:8443 | 地区:   
 NO.9 | 流媒体网速: 3.44 MB/s | IP地址: 91.110.209.66:443 | 地区:   
 NO.10 | 流媒体网速: 3.43 MB/s | IP地址: 91.110.209.90:443 | 地区:   
 NO.11 | 流媒体网速: 3.43 MB/s | IP地址: 91.110.209.76:443 | 地区:   
 NO.12 | 流媒体网速: 3.35 MB/s | IP地址: 91.110.209.89:443 | 地区:   
 NO.13 | 流媒体网速: 3.30 MB/s | IP地址: 91.110.209.69:443 | 地区:   
 NO.14 | 流媒体网速: 3.29 MB/s | IP地址: 91.110.209.72:443 | 地区:   
 NO.15 | 流媒体网速: 3.28 MB/s | IP地址: 91.110.209.110:443 | 地区:   
 NO.16 | 流媒体网速: 3.27 MB/s | IP地址: 91.110.174.201:8443 | 地区:   
 NO.17 | 流媒体网速: 3.21 MB/s | IP地址: 91.110.209.100:443 | 地区:   
 NO.18 | 流媒体网速: 3.20 MB/s | IP地址: 91.110.209.68:443 | 地区:   
 NO.19 | 流媒体网速: 3.18 MB/s | IP地址: 91.110.209.115:443 | 地区:   
 NO.20 | 流媒体网速: 3.17 MB/s | IP地址: 91.110.209.93:443 | 地区:   
 NO.21 | 流媒体网速: 3.15 MB/s | IP地址: 91.110.174.173:8443 | 地区:   
 NO.22 | 流媒体网速: 3.14 MB/s | IP地址: 91.110.209.120:443 | 地区:   
 NO.23 | 流媒体网速: 3.14 MB/s | IP地址: 91.110.209.123:443 | 地区:   
 NO.24 | 流媒体网速: 3.10 MB/s | IP地址: 91.110.209.125:443 | 地区:   
 NO.25 | 流媒体网速: 3.8 MB/s | IP地址: 91.110.209.54:443 | 地区:   
 NO.26 | 流媒体网速: 3.8 MB/s | IP地址: 91.110.209.101:443 | 地区:   
 NO.27 | 流媒体网速: 3.6 MB/s | IP地址: 91.110.174.202:8443 | 地区:   
 NO.28 | 流媒体网速: 3.5 MB/s | IP地址: 167.148.203.71:443 | 地区:   
 NO.29 | 流媒体网速: 3.4 MB/s | IP地址: 91.110.209.82:443 | 地区:   
 NO.30 | 流媒体网速: 3.3 MB/s | IP地址: 91.110.209.124:443 | 地区:   
